Kunde;Werk des Kunden;Transportzeit;Zeiteinheit tt;Lieferadresse;Adressnummer;Name;Staat;Ort;Suchbegriff;Selektion;Briefanrede;Anrede;Titel;Vorname;Name 2;Name 3;Postleitzahl;Prefix Ort;Postfix Ort;Prefix Straﬂe;Straﬂe;Postfix Straﬂe;Hausnummer;Bundesland;PLZ Postfach;Postfach;Telefonbuch;E-Mail;Homepage;Handy;Telefon;Autotelefon;Telefax;Telefon 2;Telefax 2;L‰ngengrad;Breitengrad;Kurzbeschreibung;Sammellieferschein;Versandkalender;Kommissionierzeit;ZE KommZeit;Betriebskalender;Entfernung LAdr;max Paketgewicht;max DurchfHˆhe;VerpVorschrift
0;;0;4;0;0;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;0;0;;no;?;0;4;?;0;0;0;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Kunde;Customer;S_LieferAdresse.Kunde;INTEGER;zzzzzzzz;
2;Werk des Kunden;Plant of Customer;S_Lieferadresse.AdressKennung;CHARACTER;x(20);
3;Transportzeit;Transport Time;S_Lieferadresse.Transpzeit;INTEGER;zzzzz9;
4;Zeiteinheit tt;Time Unit;S_Lieferadresse.Zeiteinheit;CHARACTER;9;
5;Lieferadresse;Ship-To Address;S_LieferAdresse.LieferAdresse;INTEGER;zz9;
6;Adressnummer;Address Number;S_Adresse.AdressNr;INTEGER;zzzzzzz9;
7;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
8;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
9;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
10;Suchbegriff;Search Term;S_Adresse.Suchbegriff;CHARACTER;x(12);
11;Selektion;Selection;S_Adresse.Selektion;CHARACTER;x(20);
12;Briefanrede;Letter Salutation;S_Adresse.BriefAnrede;CHARACTER;x(50);
13;Anrede;Salutation;S_Adresse.Anrede;CHARACTER;x(30);
14;Titel;Title;S_Adresse.Titel;CHARACTER;x(50);
15;Vorname;First Name;S_Adresse.Vorname;CHARACTER;x(80);
16;Name 2;Name 2;S_Adresse.Name2;CHARACTER;x(80);
17;Name 3;Name 3;S_Adresse.Name3;CHARACTER;x(80);
18;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
19;Prefix Ort;Prefix City;S_Adresse.CityPrefix;CHARACTER;x(40);
20;Postfix Ort;Postfix City;S_Adresse.CityPostfix;CHARACTER;x(40);
21;Prefix Straﬂe;Prefix Street;S_Adresse.StreetPrefix;CHARACTER;x(40);
22;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
23;Postfix Straﬂe;Postfix Street;S_Adresse.StreetPostfix;CHARACTER;x(40);
24;Hausnummer;Street Number;S_Adresse.Hausnummer;CHARACTER;x(12);
25;Bundesland;State;S_Adresse.Bundesland;CHARACTER;x(3);
26;PLZ Postfach;ZIP PO Box;S_Adresse.PLZ_Postfach;CHARACTER;x(10);
27;Postfach;PO Box;S_Adresse.Postfach;CHARACTER;x(30);
28;Telefonbuch;Manage Address in Central Telephone Book;S_Adresse.Telefonbuch;LOGICAL;ja/nein;
29;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
30;Homepage;Homepage;S_Adresse.HomePage;CHARACTER;x(60);
31;Handy;Cell Phone;S_Adresse.Handy;CHARACTER;x(25);
32;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
33;Autotelefon;Car Phone;S_Adresse.AutoTelefon;CHARACTER;x(25);
34;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
35;Telefon 2;Telephone 2;S_Adresse.Telefon2;CHARACTER;x(25);
36;Telefax 2;Fax 2;S_Adresse.Telefax2;CHARACTER;x(25);
37;L‰ngengrad;Longitude;S_Adresse.Longitude;DECIMAL;-zz9.9999999999;
38;Breitengrad;Latitude;S_Adresse.Latitude;DECIMAL;-zz9.9999999999;
39;Kurzbeschreibung;Short Description;S_LieferAdresse.KurzBeschreibung;CHARACTER;x(60);
40;Sammellieferschein;Consolidated Shipping Document;S_LieferAdresse.uCA_Sammellieferschein;LOGICAL;SmLi/EzLi;
41;Versandkalender;Company Calendar Shipping;S_LieferAdresse.uCA_Betriebskalender;INTEGER;zzzzzzz9;
42;Kommissionierzeit;Staging Time;S_LieferAdresse.uCI_KommZeit;INTEGER;zzzzz9;
43;ZE KommZeit;Time Unit for Staging Time;S_LieferAdresse.uCI_KommZeiteinheit;CHARACTER;9;
44;Betriebskalender;Company Calendar;S_LieferAdresse.uCW_Betriebskalender;INTEGER;zzzzzzz9;
45;Entfernung LAdr;Distance Ship-To Address;S_LieferAdresse.uCW_Entfernung;INTEGER;zzzz9;
46;max Paketgewicht;Maximum Packaging Weight Ship-To Address;S_LieferAdresse.uCW_Paketgewicht;DECIMAL;zzz9.99;
47;max DurchfHˆhe;Maximum Clearance;S_LieferAdresse.uCW_Durchfahrtshoehe;DECIMAL;zz9.99;
48;VerpVorschrift;Packaging Instruction;S_LieferAdresse.uCW_PackInstruct;CHARACTER;x(20);
