Konto;Bankverb Konto;Bank;Bankleitzahl;SWIFT-BIC;Bankkonto;IBAN;Hauptbank;abw Kontoinhaber;W‰hrung;BankModify;Selektion;Suchbegriff;Name;Staat;Postleitzahl;Ort;Straﬂe;Telefon;Telefax;E-Mail;BnkV Spesenkonto;FormularNr ZA Lief;BnkV Zwischenbank;Anzahl Formulare;W‰hrung Bankkonto
0;0;?;;;;;no;;0;;;;;;;;;;;;?;0;?;1;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Konto;Account;S_Konto.Konto;INTEGER;zzzzzzzz;
2;Bankverb Konto;Counter;SBM_BankDataAcc.BankDataCounter;INTEGER;zz9;
3;Bank;Bank;S_Bank.Bank;CHARACTER;x(12);
4;Bankleitzahl;Bank Routing Number;S_Bank.BLZ;CHARACTER;x(14);
5;SWIFT-BIC;SWIFT number;S_Bank.SwiftNr;CHARACTER;xxxx xx xx xxx;
6;Bankkonto;Bank Account;SBM_BankDataAcc.BankKonto;CHARACTER;x(35);
7;IBAN;IBAN;SBM_BankDataAcc.IBAN;CHARACTER;XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX;
8;Hauptbank;Main Bank;SBM_BankDataAcc.MainBank;LOGICAL;ja/nein;
9;abw Kontoinhaber;Diff Acct Holder;SBM_BankDataAcc.AccountHolder;CHARACTER;x(80);
10;W‰hrung;Currency;S_Waehrung.Waehrung;INTEGER;zz9;
11;BankModify;;;;;
12;Selektion;Selection;S_Bank.Selektion;CHARACTER;x(20);
13;Suchbegriff;Search Term;S_Bank.Suchbegriff;CHARACTER;x(12);
14;Name;Name 1;S_Adresse.Name1;CHARACTER;x(80);
15;Staat;Country;S_Adresse.Staat;CHARACTER;x(3);
16;Postleitzahl;ZIP Code;S_Adresse.PLZ;CHARACTER;x(10);
17;Ort;City;S_Adresse.Ort;CHARACTER;x(30);
18;Straﬂe;Street;S_Adresse.Strasse;CHARACTER;x(50);
19;Telefon;Telephone;S_Adresse.Telefon;CHARACTER;x(25);
20;Telefax;Fax;S_Adresse.Telefax;CHARACTER;x(25);
21;E-Mail;E-Mail;S_Adresse.EMail;CHARACTER;x(254);
22;BnkV Spesenkonto;HBank Expense Acct;SBM_BankDataAcc.F_ExpenseAcc;INTEGER;zz9;
23;FormularNr ZA Lief;Form Number Payment Advice Supplier;SBM_BankDataAcc.F_FormNrAdvice;INTEGER;z9;
24;BnkV Zwischenbank;House Bank Intermediate Bank;SBM_BankDataAcc.F_InterBank;INTEGER;zz9;
25;Anzahl Formulare;Number of Forms Payment Advice Supplier;SBM_BankDataAcc.F_NrFormsAdvice;INTEGER;9;
26;W‰hrung Bankkonto;Currency Bank Acct;SBM_BankDataAcc.cRU_Currency;INTEGER;zz9;
