Kontenbereich;Kunde/Lieferant;AnsprechNr;Name;Abteilung;Funktion;Selektionscode;Telefon;E-Mail;Anzeigefolge;Selektion;Telefax;Handy;Anrede;Titel;Vorname;Nachname;Adressanrede;Briefanrede;Adressnummer;Hobby;Präsente;Geburtstag;Robinson-Prüfung;c_S_ANSPRECHselectcodeautocreate;Bezeichnung;Geburtsort;Bundesland Geburt;Geburtsland
0;0;0;;;;0;;;999;;;;;;;;;;?;;;?;yes;;;;;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Kontenbereich;Range of Accounts;S_Ansprech.Kontenbereich;INTEGER;9;
2;Kunde/Lieferant;Customer/Supplier;S_Ansprech.Konto;INTEGER;zzzzzzzz;
3;AnsprechNr;Contact Person No.;S_Ansprech.AnsprechNr;INTEGER;zzz9;
4;Name;Name;S_Ansprech.Name;CHARACTER;x(120);
5;Abteilung;Department;S_Ansprech.Abteilung;CHARACTER;x(50);
6;Funktion;Function;S_Ansprech.Funktion;CHARACTER;x(50);
7;Selektionscode;Selection Code;S_Ansprech.Selektionscode;INTEGER;z9;
8;Telefon;Telephone;S_Ansprech.Telefon;CHARACTER;x(25);
9;E-Mail;E-Mail Contact Person;S_Ansprech.EMail;CHARACTER;x(254);
10;Anzeigefolge;Display Sequence;S_Ansprech.AnzeigeFolge;INTEGER;zz9;
11;Selektion;Selection;S_Ansprech.Selektion;CHARACTER;x(20);
12;Telefax;Fax;S_Ansprech.Telefax;CHARACTER;x(25);
13;Handy;Cell Phone;S_Ansprech.Handy;CHARACTER;x(25);
14;Anrede;Salutation;S_Ansprech.Anrede;CHARACTER;x(30);
15;Titel;Title;S_Ansprech.Titel;CHARACTER;x(50);
16;Vorname;First Name;S_Ansprech.Vorname;CHARACTER;x(80);
17;Nachname;Last Name;S_Ansprech.Nachname;CHARACTER;x(80);
18;Adressanrede;Address Salutation;S_Ansprech.AdressAnrede;CHARACTER;x(50);
19;Briefanrede;Letter Salutation;S_Ansprech.BriefAnrede;CHARACTER;x(120);
20;Adressnummer;Address Number;S_Ansprech.AdressNr;INTEGER;zzzzzzz9;
21;Hobby;Hobby;S_Ansprech.Hobby;CHARACTER;x(30);
22;Präsente;Presents;S_Ansprech.Praesente;CHARACTER;x(30);
23;Geburtstag;Birthday;S_Ansprech.Geburtstag;DATE;99.99.9999;
24;Robinson-Prüfung;National Do Not Call Registry Check;S_Ansprech.RobinsonCheck;LOGICAL;ja/nein;
25;c_S_ANSPRECHselectcodeautocreate;;;;;
26;Bezeichnung;Description Selection Code;S_SelektionscodeSpr.Bezeichnung;CHARACTER;x(30);
27;Geburtsort;Place of Birth;S_Ansprech.I_PlaceOfBirth;CHARACTER;x(40);
28;Bundesland Geburt;Country of Birth;S_Ansprech.I_StateOfBirth;CHARACTER;x(3);
29;Geburtsland;Country of Birth;S_Ansprech.I_CountryOfBirth;CHARACTER;x(3);
