Station Name,ID,Lat.,Lon.,GLOSS ID,Country,Date,Coastline,Station
BREST,1,48.383,-4.495,242,FRA,30/01/2024,190,091
SWINOUJSCIE,2,53.917,14.233,,POL,19/10/2001,110,092
SHEERNESS,3,51.446,0.743,,GBR,02/02/2024,170,101
HOLYHEAD,5,53.314,-4.620,,GBR,02/02/2024,170,191
CUXHAVEN 2,7,53.867,8.717,284,DEU,13/12/2023,140,012
WISMAR 2,8,53.899,11.458,,DEU,14/04/2023,120,022
MAASSLUIS,9,51.918,4.250,,NLD,19/07/2023,150,061
SAN FRANCISCO,10,37.807,-122.465,158,USA,10/01/2024,823,031
WARNEMUNDE 2,11,54.170,12.103,,DEU,14/04/2023,120,012
NEW YORK (THE BATTERY),12,40.700,-74.013,,USA,10/01/2024,960,121
TRAVEMUNDE,13,53.958,10.872,,DEU,07/04/2022,125,001
HELSINKI,14,60.154,24.956,,FIN,05/03/2024,060,351
LIVERPOOL GEORGES AND PRINCES PIERS,15,53.400,-3.000,,GBR,27/01/2016,170,211
LYOKKI,16,60.850,21.183,,FIN,01/01/1980,060,221
LYPYRTTI,17,60.600,21.233,,FIN,01/01/1980,060,231
JUNGFRUSUND,18,59.950,22.367,,FIN,01/01/1980,060,311
VLISSINGEN,20,51.442,3.596,,NLD,19/07/2023,150,101
ABERDEEN II,21,57.150,-2.083,,GBR,01/01/1980,170,012
HOEK VAN HOLLAND,22,51.978,4.120,,NLD,19/07/2023,150,051
DEN HELDER,23,52.964,4.745,,NLD,19/07/2023,150,031
DELFZIJL,24,53.326,6.933,,NLD,19/07/2023,150,001
HARLINGEN,25,53.176,5.409,,NLD,19/07/2023,150,021
LIEPAJA,26,56.533,20.983,,LVA,30/03/2016,083,151
UTO,27,59.783,21.367,,FIN,01/01/1980,060,291
RUSSARO,28,59.767,22.950,,FIN,01/01/1980,060,316
SODERSKAR,29,60.117,25.417,,FIN,01/01/1980,060,354
RONNSKAR,30,63.067,20.800,,FIN,01/01/1980,060,061
NEDRE SODERTALJE,31,59.200,17.617,,SWE,06/11/1991,050,131
IJMUIDEN,32,52.462,4.555,,NLD,19/07/2023,150,041
OSCARSBORG,33,59.678,10.605,,NOR,18/01/2024,040,331
TRONDHEIM,34,63.433,10.433,,NOR,30/09/1991,040,141
DAUGAVGRIVA,37,57.050,24.033,,LVA,01/01/1980,083,081
VENEZIA (S.STEFANO),39,45.417,12.333,,ITA,11/04/2000,270,051
POTI,41,42.167,41.683,,GEO,24/08/2023,305,021
SEVASTOPOL,42,44.617,33.533,,UKR,03/02/1998,298,041
MUMBAI / BOMBAY (APOLLO BANDAR),43,18.917,72.833,,IND,13/02/2023,500,041
ADEN,44,12.788,44.974,3,YEM,01/02/2016,485,001
KABELVAG,45,68.213,14.482,,NOR,18/01/2024,040,091
STAVANGER,47,58.974,5.730,,NOR,18/01/2024,040,261
KIDDERPORE,48,22.533,88.333,,IND,01/01/1980,500,151
DUBLAT (SAUGOR IS.),49,21.633,88.133,,IND,01/01/1980,500,121
BATUMI,51,41.633,41.700,,GEO,24/08/2023,305,031
CASCAIS,52,38.683,-9.417,246,PRT,27/01/2016,210,021
VAASA / VASA,57,63.082,21.571,,FIN,25/05/2023,060,051
BERGEN,58,60.398,5.320,,NOR,18/01/2024,040,221
GENOVA,59,44.400,8.900,,ITA,20/01/2023,250,011
MARSEILLE,61,43.279,5.354,205,FRA,30/01/2024,230,051
OSLO,62,59.909,10.735,,NOR,18/01/2024,040,321
KOBBAKLINTAR,63,60.033,19.883,,ALA,01/01/1980,060,261
GDANSK/NOWY PORT,64,54.400,18.683,,POL,19/10/2001,110,022
"SYDNEY, FORT DENISON",65,-33.850,151.233,57,AUS,10/05/2000,680,141
MILFORD HAVEN (NEWTON NOYES),66,51.700,-5.017,,GBR,20/02/1987,170,181
LANDSORT,68,58.742,17.865,,SWE,10/09/2019,050,121
OLANDS NORRA UDDE,69,57.366,17.097,,SWE,09/06/2023,050,091
KUNGSHOLMSFORT,70,56.105,15.589,,SWE,09/06/2023,050,081
HANKO / HANGO,71,59.823,22.977,,FIN,05/03/2024,060,331
YSTAD,72,55.417,13.817,,SWE,29/07/1988,050,071
VARBERG,73,57.100,12.217,,SWE,01/01/1980,050,041
GOTEBORG - KLIPPAN,74,57.683,11.900,,SWE,01/03/2012,050,031
AARHUS,76,56.147,10.224,,DNK,27/11/2018,130,081
GRONSKAR,77,59.283,19.033,,SWE,06/11/1991,050,151
STOCKHOLM,78,59.324,18.082,341,SWE,09/06/2023,050,141
OULU / ULEABORG,79,65.040,25.418,,FIN,05/03/2024,060,011
ESBJERG,80,55.461,8.441,,DNK,27/11/2018,130,121
FREDERICIA,81,55.561,9.754,,DNK,27/11/2018,130,071
KOBENHAVN,82,55.705,12.600,,DNK,27/11/2018,130,021
VYBORG,83,60.700,28.733,,RUS,01/01/1980,080,002
LEMSTROM,84,60.100,20.017,,ALA,01/01/1980,060,271
REPOSAARI,85,61.617,21.450,,FIN,01/01/1980,060,091
YKSPIHLAJA,86,63.833,23.033,,FIN,01/01/1980,060,031
VENEZIA (ARSENALE),87,45.417,12.350,,ITA,01/01/1980,270,041
RATAN,88,63.986,20.895,,SWE,09/06/2023,050,191
HIRTSHALS,89,57.596,9.964,,DNK,27/11/2018,130,101
BJORN,90,60.633,17.967,,SWE,01/01/1980,050,161
FREDERIKSHAVN,91,57.436,10.549,,DNK,27/11/2018,130,091
TONOURA,94,34.900,132.067,326,JPN,04/05/1988,647,021
NORTH SHIELDS,95,55.007,-1.440,,GBR,02/02/2024,170,053
HALIFAX,96,44.667,-63.583,222,CAN,29/06/2017,970,011
BACKEVIK,97,58.367,11.250,,SWE,01/01/1980,050,021
SLIPSHAVN,98,55.288,10.828,,DNK,27/11/2018,130,051
NEDRE GAVLE,99,60.683,17.167,,SWE,06/11/1991,050,171
PORTO CORSINI,100,44.500,12.283,,ITA,01/01/1980,270,035
ANCONA,101,43.583,13.483,,ITA,01/01/1980,270,030
CATANIA,102,37.500,15.133,,ITA,01/01/1980,260,031
TARANTO,103,40.433,17.267,,ITA,01/01/1980,270,006
CAGLIARI,104,39.200,9.167,,ITA,01/01/1980,240,011
NAPOLI (MANDRACCHIO),105,40.843,14.258,,ITA,04/06/2019,250,051
CIVITAVECCHIA,106,42.050,11.817,,ITA,01/01/1980,250,031
PALERMO,107,38.133,13.333,,ITA,01/01/1980,260,011
PORTO MAURIZIO,108,43.867,8.017,,ITA,01/01/1980,250,001
LA MADDALENA,109,41.233,9.367,,ITA,01/01/1980,240,001
FREMANTLE,111,-32.056,115.739,53,AUS,27/02/2023,680,471
FERNANDINA BEACH,112,30.672,-81.465,,USA,10/01/2024,960,021
KORSOR,113,55.332,11.142,,DNK,27/11/2018,130,041
KLAIPEDA,118,55.700,21.133,,LTU,23/07/2019,084,161
HORNBAEK,119,56.091,12.458,,DNK,27/11/2018,130,031
GEDSER,120,54.573,11.926,,DNK,27/11/2018,130,001
IWASAKI,121,40.583,139.917,,JPN,01/01/1980,647,101
DRAGHALLAN,122,62.367,17.533,,SWE,01/01/1980,050,181
TROIS-RIVIERES,126,46.333,-72.550,,CAN,16/02/2024,970,078
SEATTLE,127,47.602,-122.338,,USA,16/01/2024,823,011
NAPOLI (ARSENALE),129,40.867,14.267,,ITA,01/01/1980,250,041
ABURATSUBO,130,35.160,139.615,,JPN,04/03/2024,642,091
AYUKAWA,131,38.297,141.505,,JPN,04/03/2024,642,031
WAJIMA,132,37.406,136.900,,JPN,04/03/2024,647,071
HOSOJIMA,133,32.429,131.669,,JPN,04/03/2024,645,011
KUSHIMOTO,134,33.476,135.773,85,JPN,04/03/2024,642,141
PHILADELPHIA (PIER 9N),135,39.933,-75.142,,USA,10/01/2024,960,087
PORT-SAINT-FRANCOIS,137,46.267,-72.617,,CAN,16/02/2024,970,076
POINTE-AU-PERE,138,48.517,-68.467,,CAN,25/10/1993,970,061
