Belegnummer;Auftragsart;Belegdatum;Kunde;Profitcenter;Empfänger;Wiedervorlage;Vertragsnummer;Vertragsdatum;Abnahmeverpfl;Preisgültigkeit;Kostenträger;Bestellung;Bestelldatum;gültig ab;gültig bis;Sachbearbeiter;Lagerort;Dispobereich;Verteilergruppe;Formularnummer;Anzahl Formulare;Sprache;Währung;Kommissionsnummer;Lieferbedingung;Zahlungsziel;Fracht skontofähig;Versandart;Geschäftsart;Preisliste;Rabattgruppe;Kopftext1;Kopftext2;Kopftext3;Kopftext4;Bemerkung1;Bemerkung2;Bemerkung3;Lieferadresse;Rechnungsadresse;steuerfrei;steuerfrei bestät;SteuerID Empfänger;Versendung;Umweltabgabe;SdI-Zahlungsart;Bollobetrag;Bollo virtuell;Dokumententyp;Steuer verspätet;Steuer Vormonat;zus Regeln1;zus Regeln2;zus Regeln3;zus Regeln4;zus Regeln5;zus Regeln6;Fracht steuerfrei1;Fracht steuerfrei2;Fracht steuerfrei3;Fracht steuerfrei4;Fracht steuerfrei5;Fracht steuerfrei6;Nexus;Zuschlag steuerpfl1;Zuschlag steuerpfl2;Zuschlag steuerpfl3;Zuschlag steuerpfl4;Zuschlag steuerpfl5;Steuerbetrag1;Steuerbetrag2;Steuerbetrag3;Steuerbetrag4;Steuerbetrag5;Steuerbetrag6;Steuerbetrag7;Steuerbetrag8;Steuerbetrag9;Steuerbetrag10;Steuerbetrag11;Steuertyp;Steuersatz1;Steuersatz2;Steuersatz3;Steuersatz4;Steuersatz5;Steuersatz6;Kommissionierzeit;ZE KommZeit;Dispofreigabe;Übern Preise RAPos
0;;today;0;;;?;;?;?;today;;;?;today;?;;?;0;;0;1;D;0;;0;0;no;0;11;;;;;;;;;;0;0;no;no;;no;no;0;0;yes;0;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;no;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Belegnummer;Document Number;V_BelegKopf.BelegNummer;INTEGER;zzzzzzz9;
2;Auftragsart;Order Category;V_BelegKopf.AuftragsArt;CHARACTER;x(2);
3;Belegdatum;Document Date;V_BelegKopf.Belegdatum;DATE;99.99.9999;
4;Kunde;Customer;V_BelegKopf.Kunde;INTEGER;zzzzzzzz;
5;Profitcenter;Profit Center;V_BelegKopf.SBM_ProfitCenter_ID;CHARACTER;x(20);
6;Empfänger;Recipient;V_BelegKopf.Empfaenger;CHARACTER;x(120);
7;Wiedervorlage;ToDo;V_BelegKopf.Wiedervorlage;DATE;99.99.9999;
8;Vertragsnummer;Contract Number;V_BelegKopf.Vertragsnummer;CHARACTER;x(20);
9;Vertragsdatum;Contract Date;V_BelegKopf.Vertragsdatum;DATE;99.99.9999;
10;Abnahmeverpfl;Expiration Date of Obligation to Accept;V_BelegKopf.Abnahmeverpflichtung;DATE;99.99.9999;
11;Preisgültigkeit;Price Validity;V_BelegKopf.Preisgueltigkeit;DATE;99.99.9999;
12;Kostenträger;Cost Object;S_KoTraeger.Kostentraeger;CHARACTER;x(20);
13;Bestellung;Purchase Order;V_BelegKopf.BelegInfo;CHARACTER;x(40);
14;Bestelldatum;Purchase Order Date;V_BelegKopf.BestellDatum;DATE;99.99.9999;
15;gültig ab;Valid From;V_BelegKopf.gueltig_ab;DATE;99.99.9999;
16;gültig bis;Valid Until;V_BelegKopf.gueltig_bis;DATE;99.99.9999;
17;Sachbearbeiter;Specialist;V_BelegKopf.Sachbearbeiter;CHARACTER;x(12);
18;Lagerort;Storage Area;V_BelegKopf.LagerOrt;INTEGER;zzzzzzz9;
19;Dispobereich;MRP Area;V_BelegKopf.Lagergruppe;INTEGER;zzzzzzz9;
20;Verteilergruppe;Work Group;V_BelegKopf.VerteilerGruppe;CHARACTER;x(6);
21;Formularnummer;Form Number;V_BelegKopf.FormularNr;INTEGER;z9;
